Components,Type,Label
ListOrdersController,class,0
SendOrderConfirmationEmailAdvice,class,0
OrderFormController,class,0
ViewOrderController,class,0
ListOrders(jsp),view,0
ViewOrder(jsp),view,0
NewOrderForm(jsp),view,0
ShippingForm(jsp),view,0
ConfirmOrder(jsp),view,0
OrderDao,class,0
LineItem,class,0
OrderValidator,class,0
Order,class,0
OrderService,class,0
OrderServiceClient,class,0
JaxRpcOrderService,class,0
OrderForm,class,0
Sequence,class,0
SqlMapSequenceDao,class,0
SqlMapOrderDao,class,0
sequence(table),table,0
lineitem(table),table,0
orders(table),table,0
orderstatus(table),table,0
AccountDao,class,1
AccountValidator,class,1
Account,class,1
SignonInterceptor,class,1
UserSession,class,1
SignonController,class,1
AccountFormController,class,1
AccountForm,class,1
SqlMapAccountDao,class,1
SignOffController,class,1
account(table),table,1
profile(table),table,1
signon(table),table,1
bannerdata(table),table,1
EditAccountForm(jsp),view,1
SignonForm(jsp),view,1
IncludeAccountFields(jsp),view,1
IncludeMyList(jsp),view,1
Cart,class,2
CartItem,class,2
RemoveItemFromCartController,class,2
UpdateCartQuantitiesController,class,2
ViewCartController,class,2
AddItemToCartController,class,2
Cart(jsp),view,2
Checkout(jsp),view,2
CategoryDao,class,3
ProductDao,class,3
Product,class,3
Category,class,3
ViewItemController,class,3
ViewCategoryController,class,3
ViewProductController,class,3
SearchProductsController,class,3
SqlMapCategoryDao,class,3
SqlMapProductDao,class,3
category(table),table,3
SearchProducts(jsp),view,3
Category(jsp),view,3
Item(jsp),view,3
Product(jsp),view,3
ItemDao,class,3
product(table),table,3
item(table),table,3
inventory(table),table,3
supplier(table),table,3
Item,class,3
SqlMapItemDao,class,3
Index(jsp),view,3
PetStoreFacade,class,C
PetStoreImpl,class,C
Error(jsp),view,C
IncludeBanner(jsp),view,C
IncludeBottom(jsp),view,C
IncludeQuickHeader(jsp),view,C
IncludeTop(jsp),view,C
index(html),view,C
help(html),view,C
OracleSequenceDao,class,N/U
MsSqlOrderDao,class,N/U
