Components,Type,Label
Specialty,class,0
specialties(table),table,0
Vet,class,0
vet_specialties(table),table,0
vetList(html),view,0
VetRepository,class,0
VetController,class,0
vets(table),table,0
Vets,class,0
CacheConfiguration,class,0
Visit,class,1
VisitRepository,class,1
VisitController,class,1
visits(table),table,1
createOrUpdateVisitForm(html),view,1
OwnerController,class,2
Owner,class,2
ownerDetails(html),view,2
createOrUpdateOwnerForm(html),view,2
ownersList(html),view,2
OwnerRepository,class,2
owners(table),table,2
Pet,class,2
createOrUpdatePetForm(html),view,2
PetRepository,class,2
PetController,class,2
pets(table),table,2
PetType,class,2
types(table),table,2
PetValidator,class,2
PetTypeFormattor,class,2
findOwners(html),view,2
BaseEntity,class,C
NamedEntity,class,C
Person,class,C
PetClinicApplication,class,C
WelcomeController,class,C
CrashController,class,C
error(html),view,C
inputField(html),view,C
selectField(html),view,C
welcome(html),view,C
layout(html),view,C
package-info,class,N/U
