,SequenceMapper,CartActionBean,Item,Order,Category,AbstractActionBean,Sequence,OrderMapper,CatalogService,LineItem,ItemMapper,AccountMapper,AccountActionBean,OrderService,CategoryMapper,Product,OrderActionBean,CartItem,LineItemMapper,ProductMapper,Cart,AccountService,Account,CatalogActionBean
SequenceMapper,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CartActionBean,0,0,1,0,0,4,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
Item,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Order,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0
Category,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AbstractActionBean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OrderMapper,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CatalogService,0,0,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,0,0,2,0,0,0,0
LineItem,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ItemMapper,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AccountMapper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
AccountActionBean,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,2,1
OrderService,2,0,0,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
CategoryMapper,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Product,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OrderActionBean,0,1,0,2,0,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0
CartItem,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LineItemMapper,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ProductMapper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
Cart,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
AccountService,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
Account,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CatalogActionBean,0,0,2,0,2,4,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
